# Generated by scripts/generate-open-source-licenses.sh
bit_field	0.10.3	Apache-2.0/MIT
bitflags	1.3.2	MIT/Apache-2.0
bitflags	2.13.2	MIT OR Apache-2.0
bitstream-io	4.10.0	MIT/Apache-2.0
block	0.1.6	MIT
block-buffer	0.10.4	MIT OR Apache-2.0
block-padding	0.3.3	MIT OR Apache-2.0
block2	0.5.1	MIT
block2	0.6.2	MIT
blocking	1.7.0	Apache-2.0 OR MIT
borsh	1.8.1	MIT OR Apache-2.0
bstr	1.13.1	MIT OR Apache-2.0
built	0.8.1	MIT
bumpalo	3.20.3	MIT OR Apache-2.0
by_address	1.2.1	MIT OR Apache-2.0
bytemuck	1.25.2	Zlib OR Apache-2.0 OR MIT
bytemuck_derive	1.12.1	Zlib OR Apache-2.0 OR MIT
byteorder	1.5.0	Unlicense OR MIT
byteorder-lite	0.1.0	Unlicense OR MIT
bytes	1.12.1	MIT
bytesize	2.7.0	Apache-2.0
calloop	0.14.4	MIT
calloop-wayland-source	0.4.1	MIT
cast	0.3.0	MIT OR Apache-2.0
cbc	0.1.2	MIT OR Apache-2.0
cc	1.4.7	MIT OR Apache-2.0
cexpr	0.6.0	Apache-2.0/MIT
cfg-if	1.0.5	MIT OR Apache-2.0
cfg_aliases	0.2.2	MIT
chacha20	0.10.2	MIT OR Apache-2.0
chrono	0.4.45	MIT OR Apache-2.0
ciborium	0.2.2	Apache-2.0
ciborium-io	0.2.2	Apache-2.0
ciborium-ll	0.2.2	Apache-2.0
cipher	0.4.4	MIT OR Apache-2.0
clang-sys	1.9.1	Apache-2.0
clap	4.6.7	MIT OR Apache-2.0
clap_builder	4.6.7	MIT OR Apache-2.0
clap_derive	4.6.7	MIT OR Apache-2.0
clap_lex	1.1.1	MIT OR Apache-2.0
clru	0.6.3	MIT
codespan-reporting	0.11.1	Apache-2.0
codespan-reporting	0.13.1	Apache-2.0
color_quant	1.1.0	MIT
colorchoice	1.0.5	MIT OR Apache-2.0
concurrent-queue	2.5.0	Apache-2.0 OR MIT
console_error_panic_hook	0.1.7	Apache-2.0/MIT
const-random	0.1.18	MIT OR Apache-2.0
const-random-macro	0.1.16	MIT OR Apache-2.0
convert_case	0.10.0	MIT
convert_case	0.11.0	MIT
core-foundation	0.10.1	MIT OR Apache-2.0
core-foundation-sys	0.8.7	MIT OR Apache-2.0
core-graphics	0.25.0	MIT OR Apache-2.0
core-graphics-types	0.2.0	MIT OR Apache-2.0
core-graphics2	0.6.1	MIT OR Apache-2.0
core-text	22.0.0	MIT OR Apache-2.0
core-video	0.6.1	MIT OR Apache-2.0
core_detect	1.0.0	MIT/Apache-2.0
core_maths	0.1.1	MIT
cosmic-text	0.19.0	MIT OR Apache-2.0
cpufeatures	0.2.17	MIT OR Apache-2.0
cpufeatures	0.3.1	MIT OR Apache-2.0
crc32fast	1.5.2	MIT OR Apache-2.0
criterion	0.8.2	Apache-2.0 OR MIT
criterion-plot	0.8.2	Apache-2.0 OR MIT
crossbeam-channel	0.5.17	MIT OR Apache-2.0
crossbeam-deque	0.8.8	MIT OR Apache-2.0
crossbeam-epoch	0.9.21	MIT OR Apache-2.0
crossbeam-queue	0.3.14	MIT OR Apache-2.0
crossbeam-utils	0.8.23	MIT OR Apache-2.0
crunchy	0.2.4	MIT
crypto-common	0.1.7	MIT OR Apache-2.0
ctor	1.0.13	Apache-2.0 OR MIT
cursor-icon	1.2.0	MIT OR Apache-2.0 OR Zlib
dashmap	6.2.1	MIT
data-url	0.3.2	MIT OR Apache-2.0
defmt	0.3.100	MIT OR Apache-2.0
defmt	1.1.1	MIT OR Apache-2.0
defmt-macros	1.1.1	MIT OR Apache-2.0
defmt-parser	1.0.0	MIT OR Apache-2.0
dekobon-tree-sitter-groovy	0.3.0	Apache-2.0 OR MIT
deranged	0.5.8	MIT OR Apache-2.0
derive_more	2.1.1	MIT
derive_more-impl	2.1.1	MIT
digest	0.10.7	MIT OR Apache-2.0
dirs	6.0.0	MIT OR Apache-2.0
dirs-sys	0.5.0	MIT OR Apache-2.0
dispatch2	0.3.1	Zlib OR Apache-2.0 OR MIT
displaydoc	0.2.7	MIT OR Apache-2.0
dlib	0.5.3	MIT
document-features	0.2.12	MIT OR Apache-2.0
downcast-rs	1.2.1	MIT/Apache-2.0
dunce	1.0.5	CC0-1.0 OR MIT-0 OR Apache-2.0
dwrote	0.11.5	MPL-2.0
dyn-clone	1.0.20	MIT OR Apache-2.0
either	1.18.0	MIT OR Apache-2.0
embed-resource	3.0.11	MIT
encoding_rs	0.8.41	(Apache-2.0 OR MIT) AND BSD-3-Clause
endi	1.1.1	MIT
enumflags2	0.7.12	MIT OR Apache-2.0
enumflags2_derive	0.7.12	MIT OR Apache-2.0
enumn	0.1.14	MIT OR Apache-2.0
equator	0.4.2	MIT
equator-macro	0.4.2	MIT
equivalent	1.0.2	Apache-2.0 OR MIT
erased-serde	0.4.10	MIT OR Apache-2.0
errno	0.3.14	MIT OR Apache-2.0
etagere	0.3.0	MIT OR Apache-2.0
euclid	0.22.14	MIT OR Apache-2.0
event-listener	5.4.2	Apache-2.0 OR MIT
event-listener-strategy	0.5.4	Apache-2.0 OR MIT
exr	1.74.2	BSD-3-Clause
faster-hex	0.10.1	MIT
fastrand	2.5.0	Apache-2.0 OR MIT
fax	0.2.7	MIT
fdeflate	0.3.7	MIT OR Apache-2.0
filedescriptor	0.8.3	MIT
filetime	0.2.29	MIT/Apache-2.0
find-msvc-tools	0.1.13	MIT OR Apache-2.0
fixedbitset	0.5.7	MIT OR Apache-2.0
flate2	1.1.10	MIT OR Apache-2.0
float-cmp	0.9.0	MIT
float-ord	0.3.2	MIT / Apache-2.0
float_next_after	1.0.0	MIT
flume	0.12.0	Apache-2.0/MIT
fnv	1.0.7	Apache-2.0 / MIT
foldhash	0.1.5	Zlib
foldhash	0.2.0	Zlib
font-kit	0.14.3-1	MIT OR Apache-2.0
font-types	0.11.3	MIT OR Apache-2.0
font-types	0.12.5	MIT OR Apache-2.0
fontconfig-parser	0.5.8	MIT
fontdb	0.23.0	MIT
fontdb	0.24.0	MIT
foreign-types	0.5.0	MIT/Apache-2.0
foreign-types-macros	0.2.4	MIT/Apache-2.0
foreign-types-shared	0.3.1	MIT/Apache-2.0
form_urlencoded	1.2.2	MIT OR Apache-2.0
freetype-sys	0.23.0	MIT
futures	0.3.34	MIT OR Apache-2.0
futures-channel	0.3.34	MIT OR Apache-2.0
futures-concurrency	7.7.1	MIT OR Apache-2.0
futures-core	0.3.34	MIT OR Apache-2.0
futures-executor	0.3.34	MIT OR Apache-2.0
futures-io	0.3.34	MIT OR Apache-2.0
futures-lite	2.6.1	Apache-2.0 OR MIT
futures-macro	0.3.34	MIT OR Apache-2.0
futures-sink	0.3.34	MIT OR Apache-2.0
futures-task	0.3.34	MIT OR Apache-2.0
futures-util	0.3.34	MIT OR Apache-2.0
generic-array	0.14.7	MIT
gethostname	1.1.0	Apache-2.0
getrandom	0.2.17	MIT OR Apache-2.0
getrandom	0.3.4	MIT OR Apache-2.0
getrandom	0.4.3	MIT OR Apache-2.0
gif	0.14.2	MIT OR Apache-2.0
gimli	0.32.3	MIT OR Apache-2.0
gix	0.87.1	MIT OR Apache-2.0
gix-actor	0.42.0	MIT OR Apache-2.0
gix-attributes	0.35.0	MIT OR Apache-2.0
gix-bitmap	0.4.0	MIT OR Apache-2.0
gix-blame	0.17.1	MIT OR Apache-2.0
gix-chunk	0.8.0	MIT OR Apache-2.0
gix-command	0.10.1	MIT OR Apache-2.0
gix-commitgraph	0.39.0	MIT OR Apache-2.0
gix-config	0.60.0	MIT OR Apache-2.0
gix-config-value	0.19.1	MIT OR Apache-2.0
gix-date	0.16.0	MIT OR Apache-2.0
gix-diff	0.67.1	MIT OR Apache-2.0
gix-dir	0.29.1	MIT OR Apache-2.0
gix-discover	0.55.0	MIT OR Apache-2.0
gix-error	0.3.2	MIT OR Apache-2.0
gix-features	0.49.1	MIT OR Apache-2.0
gix-filter	0.34.0	MIT OR Apache-2.0
gix-fs	0.22.1	MIT OR Apache-2.0
gix-glob	0.27.1	MIT OR Apache-2.0
gix-hash	0.26.2	MIT OR Apache-2.0
gix-hashtable	0.16.0	MIT OR Apache-2.0
gix-ignore	0.22.1	MIT OR Apache-2.0
gix-imara-diff	0.2.5	Apache-2.0
gix-index	0.55.0	MIT OR Apache-2.0
gix-lock	24.0.0	MIT OR Apache-2.0
gix-macros	0.1.6	MIT OR Apache-2.0
gix-note	0.1.1	MIT OR Apache-2.0
gix-object	0.64.1	MIT OR Apache-2.0
gix-odb	0.84.0	MIT OR Apache-2.0
gix-pack	0.74.2	MIT OR Apache-2.0
gix-packetline	0.22.2	MIT OR Apache-2.0
gix-path	0.12.6	MIT OR Apache-2.0
gix-pathspec	0.20.0	MIT OR Apache-2.0
gix-protocol	0.65.1	MIT OR Apache-2.0
gix-quote	0.8.0	MIT OR Apache-2.0
gix-ref	0.67.1	MIT OR Apache-2.0
gix-refspec	0.45.1	MIT OR Apache-2.0
gix-revision	0.49.1	MIT OR Apache-2.0
gix-revwalk	0.35.0	MIT OR Apache-2.0
gix-sec	0.14.2	MIT OR Apache-2.0
gix-shallow	0.13.0	MIT OR Apache-2.0
gix-status	0.34.1	MIT OR Apache-2.0
gix-submodule	0.34.0	MIT OR Apache-2.0
gix-tempfile	24.0.0	MIT OR Apache-2.0
gix-trace	0.1.21	MIT OR Apache-2.0
gix-transport	0.59.2	MIT OR Apache-2.0
gix-traverse	0.61.0	MIT OR Apache-2.0
gix-url	0.38.0	MIT OR Apache-2.0
gix-utils	0.3.6	MIT OR Apache-2.0
gix-validate	0.11.4	MIT OR Apache-2.0
gix-worktree	0.56.0	MIT OR Apache-2.0
gix-worktree-stream	0.36.1	MIT OR Apache-2.0
gix-zlib	0.1.0	MIT OR Apache-2.0
gl_generator	0.14.0	Apache-2.0
glam	0.30.10	MIT OR Apache-2.0
glob	0.3.4	MIT OR Apache-2.0
glow	0.17.0	MIT OR Apache-2.0 OR Zlib
glutin_wgl_sys	0.6.1	Apache-2.0
gpu-allocator	0.28.0	MIT OR Apache-2.0
gpu-descriptor	0.3.2	MIT OR Apache-2.0
gpu-descriptor-types	0.2.0	MIT OR Apache-2.0
gpui-ce	0.2.2	Apache-2.0
gpui_ce_apple	0.1.0	Apache-2.0
gpui_ce_collections	0.2.2	Apache-2.0
gpui_ce_derive_refineable	0.2.2	Apache-2.0
gpui_ce_linux	0.1.0	Apache-2.0
gpui_ce_macos	0.1.0	Apache-2.0
gpui_ce_macros	0.1.0	Apache-2.0
gpui_ce_media	0.2.2	Apache-2.0
gpui_ce_platform	0.1.0	Apache-2.0
gpui_ce_refineable	0.2.2	Apache-2.0
gpui_ce_render	0.1.0	Apache-2.0
gpui_ce_scheduler	0.2.2	Apache-2.0
gpui_ce_shared_string	0.1.0	Apache-2.0
gpui_ce_sum_tree	0.2.2	Apache-2.0
gpui_ce_util	0.2.6	Apache-2.0
gpui_ce_web	0.1.0	Apache-2.0
gpui_ce_wgpu	0.1.0	Apache-2.0
gpui_ce_windows	0.1.0	Apache-2.0
gpui_xim	0.4.0-gpui	MIT
half	2.7.1	MIT OR Apache-2.0
harfrust	0.12.0	MIT
harfrust	0.5.2	MIT
hash32	0.3.1	MIT OR Apache-2.0
hashbrown	0.14.5	MIT OR Apache-2.0
hashbrown	0.15.5	MIT OR Apache-2.0
hashbrown	0.16.1	MIT OR Apache-2.0
hashbrown	0.17.1	MIT OR Apache-2.0
hdrhistogram	7.6.0	MIT/Apache-2.0
heapless	0.8.0	MIT OR Apache-2.0
heapless	0.9.3	MIT OR Apache-2.0
heck	0.5.0	MIT OR Apache-2.0
hermit-abi	0.5.3	MIT OR Apache-2.0
hex	0.4.3	MIT OR Apache-2.0
hexf-parse	0.2.1	CC0-1.0
hkdf	0.12.4	MIT OR Apache-2.0
hmac	0.12.1	MIT OR Apache-2.0
home	0.5.12	MIT OR Apache-2.0
http	1.5.0	MIT OR Apache-2.0
httparse	1.10.1	MIT OR Apache-2.0
human_format	1.2.1	MIT
iana-time-zone	0.1.65	MIT OR Apache-2.0
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0
icu_collections	2.3.0	Unicode-3.0
icu_locale_core	2.3.0	Unicode-3.0
icu_normalizer	2.3.0	Unicode-3.0
icu_normalizer_data	2.3.0	Unicode-3.0
icu_properties	2.3.0	Unicode-3.0
icu_properties_data	2.3.0	Unicode-3.0
icu_provider	2.3.1	Unicode-3.0
idna	1.1.0	MIT OR Apache-2.0
idna_adapter	1.2.2	Apache-2.0 OR MIT
image	0.25.10	MIT OR Apache-2.0
image-webp	0.2.4	MIT OR Apache-2.0
imagesize	0.15.0	MIT
imgref	1.12.3	CC0-1.0 OR Apache-2.0
indexmap	2.14.2	Apache-2.0 OR MIT
inotify	0.11.5	ISC
inotify-sys	0.1.8	ISC
inout	0.1.4	MIT OR Apache-2.0
interpolate_name	0.2.4	MIT
inventory	0.3.24	MIT OR Apache-2.0
is-docker	0.2.0	MIT
is-wsl	0.4.0	MIT
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0
itertools	0.13.0	MIT OR Apache-2.0
itertools	0.14.0	MIT OR Apache-2.0
itertools	0.15.0	MIT OR Apache-2.0
itoa	1.0.18	MIT OR Apache-2.0
jiff	0.2.37	Unlicense OR MIT
jiff-core	0.1.1	Unlicense OR MIT
jiff-static	0.2.37	Unlicense OR MIT
jiff-tzdb	0.1.8	Unlicense OR MIT
jiff-tzdb-platform	0.1.3	Unlicense OR MIT
jni-sys	0.3.1	MIT OR Apache-2.0
jni-sys	0.4.1	MIT OR Apache-2.0
jni-sys-macros	0.4.1	MIT OR Apache-2.0
jobserver	0.1.35	MIT OR Apache-2.0
js-sys	0.3.105	MIT OR Apache-2.0
khronos-egl	6.0.0	MIT/Apache-2.0
khronos_api	3.1.0	Apache-2.0
kqueue	1.2.1	MIT
kqueue-sys	1.1.2	MIT
kurbo	0.13.1	Apache-2.0 OR MIT
lazy_static	1.5.0	MIT OR Apache-2.0
lebe	0.5.3	BSD-3-Clause
libc	0.2.189	MIT OR Apache-2.0
libfuzzer-sys	0.4.13	(MIT OR Apache-2.0) AND NCSA
libloading	0.8.9	ISC
libm	0.2.16	MIT
libredox	0.1.25	MIT
libz-sys	1.1.29	MIT OR Apache-2.0
linebender_resource_handle	0.1.1	Apache-2.0 OR MIT
link-section	0.19.3	Apache-2.0 OR MIT
linktime-proc-macro	0.2.3	Apache-2.0 OR MIT
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
litemap	0.8.3	Unicode-3.0
litrs	1.0.0	MIT OR Apache-2.0
lock_api	0.4.14	MIT OR Apache-2.0
log	0.4.34	MIT OR Apache-2.0
loop9	0.1.5	MIT
lru	0.18.5	MIT
lyon	1.0.19	MIT OR Apache-2.0
lyon_algorithms	1.0.21	MIT OR Apache-2.0
lyon_geom	1.0.19	MIT OR Apache-2.0
lyon_path	1.0.19	MIT OR Apache-2.0
lyon_tessellation	1.0.22	MIT OR Apache-2.0
mac-notification-sys	0.6.15	MIT/Apache-2.0
mach2	0.7.0	BSD-2-Clause OR MIT OR Apache-2.0
malloc_buf	0.0.6	MIT
maybe-rayon	0.1.1	MIT
md-5	0.10.6	MIT OR Apache-2.0
memchr	2.8.3	Unlicense OR MIT
memfd	0.6.6	MIT OR Apache-2.0
memmap2	0.9.11	MIT OR Apache-2.0
memoffset	0.9.1	MIT
metal	0.33.0	MIT OR Apache-2.0
minimal-lexical	0.2.1	MIT/Apache-2.0
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0
miniz_oxide	0.9.1	MIT OR Zlib OR Apache-2.0
mio	1.2.3	MIT
miow	0.6.1	MIT OR Apache-2.0
moxcms	0.8.1	BSD-3-Clause OR Apache-2.0
multiversion	0.9.0	MIT OR Apache-2.0
multiversion-macros	0.9.0	MIT OR Apache-2.0
multiversion_no_op	1.0.0	Apache-2.0 OR MIT
naga	24.0.0	MIT OR Apache-2.0
naga	29.0.4	MIT OR Apache-2.0
ndk-sys	0.6.0+11769913	MIT OR Apache-2.0
new_debug_unreachable	1.0.6	MIT
nix	0.31.3	MIT
no_std_io2	0.9.4	Apache-2.0 OR MIT
nom	7.1.3	MIT
nom	8.0.0	MIT
nonempty	0.12.0	MIT
noop_proc_macro	0.3.0	MIT
notify	9.0.0-rc.5	CC0-1.0
notify-rust	4.18.0	MIT OR Apache-2.0
notify-types	2.1.0	MIT OR Apache-2.0
ntapi	0.4.3	Apache-2.0 OR MIT
num	0.4.3	MIT OR Apache-2.0
num-bigint	0.4.8	MIT OR Apache-2.0
num-bigint-dig	0.9.1	MIT/Apache-2.0
num-complex	0.4.6	MIT OR Apache-2.0
num-conv	0.2.2	MIT OR Apache-2.0
num-derive	0.4.2	MIT OR Apache-2.0
num-integer	0.1.47	MIT OR Apache-2.0
num-iter	0.1.46	MIT OR Apache-2.0
num-rational	0.4.2	MIT OR Apache-2.0
num-traits	0.2.19	MIT OR Apache-2.0
num_cpus	1.17.0	MIT OR Apache-2.0
objc	0.2.7	MIT
objc-sys	0.3.5	MIT
objc2	0.5.2	MIT
objc2	0.6.4	MIT
objc2-app-kit	0.2.2	MIT
objc2-app-kit	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-core-data	0.2.2	MIT
objc2-core-foundation	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-core-graphics	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-core-image	0.2.2	MIT
objc2-core-location	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-core-services	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-encode	4.1.0	MIT
objc2-foundation	0.2.2	MIT
objc2-foundation	0.3.2	MIT
objc2-io-kit	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-io-surface	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-metal	0.2.2	MIT
objc2-metal	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-quartz-core	0.2.2	MIT
objc2-quartz-core	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-user-notifications	0.3.2	Zlib OR Apache-2.0 OR MIT
object	0.37.3	Apache-2.0 OR MIT
once_cell	1.21.4	MIT OR Apache-2.0
once_cell_polyfill	1.70.2	MIT OR Apache-2.0
oo7	0.6.0	MIT
oorandom	11.1.5	MIT
open	5.4.4	MIT
option-ext	0.2.0	MPL-2.0
ordered-float	5.5.0	MIT
ordered-stream	0.2.0	MIT OR Apache-2.0
page_size	0.6.0	MIT/Apache-2.0
palette	0.7.7	MIT OR Apache-2.0
palette_derive	0.7.7	MIT OR Apache-2.0
palette_math	0.7.7	MIT OR Apache-2.0
parking	2.2.1	Apache-2.0 OR MIT
parking_lot	0.12.5	MIT OR Apache-2.0
parking_lot_core	0.9.12	MIT OR Apache-2.0
paste	1.0.15	MIT OR Apache-2.0
pastey	0.1.1	MIT OR Apache-2.0
pathfinder_geometry	0.5.1	MIT/Apache-2.0
pathfinder_simd	0.5.6	MIT OR Apache-2.0
pbkdf2	0.12.2	MIT OR Apache-2.0
percent-encoding	2.3.2	MIT OR Apache-2.0
phf	0.13.1	MIT
phf	0.14.0	MIT
phf_generator	0.14.0	MIT
phf_macros	0.14.0	MIT
phf_shared	0.13.1	MIT
phf_shared	0.14.0	MIT
pico-args	0.5.0	MIT
pin-project	1.1.13	Apache-2.0 OR MIT
pin-project-internal	1.1.13	Apache-2.0 OR MIT
pin-project-lite	0.2.17	Apache-2.0 OR MIT
piper	0.2.5	MIT OR Apache-2.0
pkg-config	0.3.34	MIT OR Apache-2.0
plotters	0.3.7	MIT
plotters-backend	0.3.7	MIT
plotters-svg	0.3.7	MIT
png	0.18.1	MIT OR Apache-2.0
polling	3.11.0	Apache-2.0 OR MIT
pollster	0.2.5	Apache-2.0/MIT
pollster	1.0.1	Apache-2.0/MIT
polycool	0.4.0	MIT OR Apache-2.0
portable-atomic	1.15.0	Apache-2.0 OR MIT
portable-atomic-util	0.2.8	Apache-2.0 OR MIT
postage	0.5.0	MIT
potential_utf	0.1.6	Unicode-3.0
powerfmt	0.2.0	MIT OR Apache-2.0
ppv-lite86	0.2.21	MIT OR Apache-2.0
presser	0.3.1	MIT OR Apache-2.0
prettyplease	0.3.0	MIT OR Apache-2.0
proc-macro-crate	3.5.0	MIT OR Apache-2.0
proc-macro2	1.0.107	MIT OR Apache-2.0
process-wrap	10.0.1	Apache-2.0 OR MIT
prodash	31.0.0	MIT
profiling	1.0.18	MIT OR Apache-2.0
profiling-procmacros	1.0.18	MIT OR Apache-2.0
proptest	1.11.0	MIT OR Apache-2.0
proptest-macro	0.5.0	MIT OR Apache-2.0
pulldown-cmark	0.13.4	MIT
pulldown-cmark-escape	0.11.0	MIT
pulp	0.22.3	MIT
pulp-wasm-simd-flag	0.1.1	MIT
pxfm	0.1.30	BSD-3-Clause OR Apache-2.0
qoi	0.4.1	MIT/Apache-2.0
quick-error	1.2.3	MIT/Apache-2.0
quick-error	2.0.1	MIT/Apache-2.0
quick-xml	0.41.0	MIT
quote	1.0.47	MIT OR Apache-2.0
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later
rand	0.10.3	MIT OR Apache-2.0
rand	0.9.5	MIT OR Apache-2.0
rand_chacha	0.9.0	MIT OR Apache-2.0
rand_core	0.10.1	MIT OR Apache-2.0
rand_core	0.9.5	MIT OR Apache-2.0
rand_xorshift	0.4.0	MIT OR Apache-2.0
range-alloc	0.1.5	MIT OR Apache-2.0
rangemap	1.8.0	MIT/Apache-2.0
rav1e	0.8.1	BSD-2-Clause
ravif	0.13.0	BSD-3-Clause
raw-cpuid	11.6.0	MIT
raw-window-handle	0.6.2	MIT OR Apache-2.0 OR Zlib
raw-window-metal	1.1.0	MIT OR Apache-2.0
rayon	1.12.0	MIT OR Apache-2.0
rayon-core	1.13.0	MIT OR Apache-2.0
read-fonts	0.37.0	MIT OR Apache-2.0
read-fonts	0.41.0	MIT OR Apache-2.0
read-fonts	0.44.0	MIT OR Apache-2.0
reborrow	0.5.5	MIT
redox_syscall	0.5.18	MIT
redox_users	0.5.3	MIT
ref-cast	1.0.27	MIT OR Apache-2.0
ref-cast-impl	1.0.27	MIT OR Apache-2.0
regex	1.13.1	MIT OR Apache-2.0
regex-automata	0.4.18	MIT OR Apache-2.0
regex-syntax	0.8.11	MIT OR Apache-2.0
renderdoc-sys	1.1.0	MIT OR Apache-2.0
resvg	0.48.1	Apache-2.0 OR MIT
rgb	0.8.53	MIT
ring	0.17.14	Apache-2.0 AND ISC
roxmltree	0.20.0	MIT OR Apache-2.0
roxmltree	0.21.1	MIT OR Apache-2.0
rustc-demangle	0.1.28	MIT/Apache-2.0
rustc-hash	1.1.0	Apache-2.0/MIT
rustc-hash	2.1.3	Apache-2.0 OR MIT
rustc_version	0.4.1	MIT OR Apache-2.0
rustfs-mimalloc	0.5.6	Apache-2.0
rustfs-mimalloc-sys	0.5.6	Apache-2.0
rustix	1.1.5	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
rustix-openpty	0.2.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
rustls	0.23.45	Apache-2.0 OR ISC OR MIT
rustls-pki-types	1.15.1	MIT OR Apache-2.0
rustls-webpki	0.103.15	ISC
rustversion	1.0.23	MIT OR Apache-2.0
rusty-fork	0.3.1	MIT/Apache-2.0
ryu	1.0.23	Apache-2.0 OR BSL-1.0
same-file	1.0.6	Unlicense/MIT
schemars	1.2.2	MIT
schemars_derive	1.2.2	MIT
scoped-tls	1.0.1	MIT/Apache-2.0
scopeguard	1.2.0	MIT OR Apache-2.0
seahash	4.1.0	MIT
self_cell	1.3.0	Apache-2.0 OR GPL-2.0-only
semver	1.0.28	MIT OR Apache-2.0
serde	1.0.229	MIT OR Apache-2.0
serde_bytes	0.11.19	MIT OR Apache-2.0
serde_core	1.0.229	MIT OR Apache-2.0
serde_derive	1.0.229	MIT OR Apache-2.0
serde_derive_internals	0.30.0	MIT OR Apache-2.0
serde_fmt	1.1.0	Apache-2.0 OR MIT
serde_json	1.0.151	MIT OR Apache-2.0
serde_repr	0.1.21	MIT OR Apache-2.0
serde_spanned	1.1.1	MIT OR Apache-2.0
sha1	0.10.7	MIT OR Apache-2.0
sha1-checked	0.10.0	MIT OR Apache-2.0
sha1_smol	1.0.1	BSD-3-Clause
sha2	0.10.9	MIT OR Apache-2.0
